# This sample file was logged from an NMEA 2K bus
# containing a Garmin 17X GPS, a Garmin GMI-10, and 
# an Airmar DST800.  Beginning of this log includes
# the power up sequence of the bus.
#
interface = can0, family = 29, type = 3, proto = 1
<0x09f80200> [8] 09 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x1defff01> [8] 60 0e e5 98 de 05 05 05 
<0x1defff01> [8] 61 01 00 0a 00 51 59 04 
<0x1defff01> [8] 62 69 ff ff ff ff ff ff 
<0x09f80200> [8] 0a fc 5b 95 00 00 ff ff 
<0x18ea2301> [3] 14 f0 01 
<0x19f01423> [8] 00 86 14 05 1f 38 44 53 
<0x19f01423> [8] 01 54 32 30 30 20 20 20 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x19f01423> [8] 02 20 20 20 20 20 20 20 
<0x19f01423> [8] 03 20 20 20 20 20 20 20 
<0x19f01423> [8] 04 20 20 20 20 20 20 20 
<0x19f01423> [8] 05 20 20 31 2e 30 30 34 
<0x19f01423> [8] 06 2c 31 2e 30 32 32 ff 
<0x19f01423> [8] 07 ff ff ff ff ff ff ff 
<0x19f01423> [8] 08 ff ff ff ff ff ff ff 
<0x19f01423> [8] 09 ff ff ff ff ff ff 34 
<0x19f01423> [8] 0a 34 2d 31 32 37 2d 31 
<0x19f01423> [8] 0b 2d 30 33 2c 48 57 39 
<0x19f01423> [8] 0c 2c 4f 45 4d 30 ff ff 
<0x0df01000> [8] 0b f0 95 3d 20 1b c8 29 
<0x19fa0300> [8] 0b fb ff ff ff ff ff ff 
<0x19f01423> [8] 0d ff ff ff ff ff ff ff 
<0x19fa0400> [8] 40 93 0b fd 0c 33 50 2c 
<0x19f01423> [8] 0e ff ff ff 32 34 38 32 
<0x19fa0400> [8] 41 5b 3d 9c ff 45 00 00 
<0x19f01423> [8] 0f 31 39 31 ff ff ff ff 
<0x19fa0400> [8] 42 00 f0 12 50 1d f2 66 
<0x19f01423> [8] 10 ff ff ff ff ff ff ff 
<0x19fa0400> [8] 43 b8 0f 00 00 00 00 f2 
<0x19f01423> [8] 11 ff ff ff ff ff ff ff 
<0x19fa0400> [8] 44 19 96 1a f2 57 46 0f 
<0x19f01423> [8] 12 ff ff ff ff ff ff ff 
<0x19fa0400> [8] 45 00 00 00 00 f2 1f b9 
<0x19f01423> [8] 13 01 04 ff ff ff ff ff 
<0x19fa0400> [8] 46 11 c2 9a b5 0f 00 00 
<0x19fa0400> [8] 47 00 00 f2 01 d1 06 36 
<0x19fa0400> [8] 48 dc 9c ff 00 00 00 00 
<0x19fa0400> [8] 49 f0 0b 22 06 36 cd 9c 
<0x19fa0400> [8] 4a ff 00 00 00 00 f0 0c 
<0x19fa0400> [8] 4b e8 19 e7 37 9c ff 00 
<0x19fa0400> [8] 4c 00 00 80 f0 0e 5c 2e 
<0x19fa0400> [8] 4d e4 dc 9c ff 00 00 00 
<0x19fa0400> [8] 4e 80 f0 16 73 32 f1 84 
<0x19fa0400> [8] 4f 9c ff 00 00 00 00 f0 
<0x19fa0400> [8] 50 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 51 60 01 00 00 f0 1b 21 
<0x19fa0400> [8] 52 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 53 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 54 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 55 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 40 2f 0b 95 3d 20 1b c8 
<0x0df80500> [8] 41 29 80 c0 47 e8 b8 c9 
<0x0df80500> [8] 42 e5 05 00 a1 0e c4 3f 
<0x0df80500> [8] 43 d6 10 f6 7a f2 27 05 
<0x0df80500> [8] 44 00 00 00 00 03 fc 03 
<0x0df80500> [8] 45 ff ff ff ff dd f2 ff 
<0x0df80500> [8] 46 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 60 3e e5 98 17 00 04 04 
<0x1defff00> [8] 61 51 59 84 69 51 59 84 
<0x1defff00> [8] 62 69 51 59 84 69 51 59 
<0x1defff00> [8] 63 84 69 51 59 84 69 0a 
<0x1defff00> [8] 64 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 65 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 66 3d 51 59 04 69 51 59 
<0x1defff00> [8] 67 04 69 51 59 04 69 51 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x1defff00> [8] 68 59 04 69 0a d7 23 3c 
<0x09f50323> [8] 04 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 09 c0 16 6d ff 7f ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 0c fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x1dff8023> [8] 00 14 87 98 ff 08 01 00 
<0x1dff8023> [8] 01 02 00 03 00 04 00 05 
<0x1dff8023> [8] 02 01 06 ff 07 00 08 00 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 0d fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x15fd0723> [8] 0a c0 16 6d ff 7f ff ff 
<0x09f80200> [8] 0e fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 0f fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x0df01000> [8] 10 f0 95 3d 30 42 c8 29 
<0x19fa0300> [8] 10 fb ff ff ff ff ff ff 
<0x19fa0400> [8] 60 93 10 fd 0c 33 50 2c 
<0x19fa0400> [8] 61 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] 62 00 f0 0e 5c 2e e4 dc 
<0x19fa0400> [8] 63 2d 10 ec ff ff ff f2 
<0x19fa0400> [8] 64 12 50 1d f2 66 a4 0f 
<0x19fa0400> [8] 65 64 00 00 00 f2 19 96 
<0x19fa0400> [8] 66 1a f2 57 6b 0f 88 ff 
<0x19fa0400> [8] 67 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 68 9a ac 0f 46 00 00 00 
<0x19fa0400> [8] 69 f2 01 d1 06 36 dc 44 
<0x19fa0400> [8] 6a 0d fa 00 00 00 f2 0b 
<0x19fa0400> [8] 6b 22 06 36 cd 6b 0e f2 
<0x19fa0400> [8] 6c fe ff ff f2 0c e8 19 
<0x19fa0400> [8] 6d e7 37 9c ff 00 00 00 
<0x19fa0400> [8] 6e 80 f0 16 73 32 f1 84 
<0x19fa0400> [8] 6f 9c ff 00 00 00 00 f0 
<0x19fa0400> [8] 70 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 71 60 01 00 00 f0 1b 21 
<0x19fa0400> [8] 72 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 73 00 00 f0 20 0b 02 c1 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19fa0400> [8] 74 d6 9c ff 00 00 00 00 
<0x09f50323> [8] 05 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 0b c0 16 6d ff 7f ff ff 
<0x19fa0400> [8] 75 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 60 2f 10 95 3d 30 42 c8 
<0x0df80500> [8] 61 29 80 c0 47 e8 b8 c9 
<0x0df80500> [8] 62 e5 05 00 a1 0e c4 3f 
<0x0df80500> [8] 63 d6 10 f6 7a f2 27 05 
<0x0df80500> [8] 64 00 00 00 00 03 fc 06 
<0x0df80500> [8] 65 ff ff ff ff dd f2 ff 
<0x0df80500> [8] 66 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 80 3e e5 98 17 00 04 04 
<0x1defff00> [8] 81 51 59 84 69 51 59 84 
<0x1defff00> [8] 82 69 51 59 84 69 51 59 
<0x1defff00> [8] 83 84 69 51 59 84 69 0a 
<0x1defff00> [8] 84 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 85 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 86 3d 51 59 04 69 51 59 
<0x1defff00> [8] 87 04 69 51 59 04 69 51 
<0x1defff00> [8] 88 59 04 69 0a d7 23 3c 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 11 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 12 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x15fd0723> [8] 0c c0 14 6d ff 7f ff ff 
<0x09f80200> [8] 13 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 14 fc 5b 95 00 00 ff ff 
<0x19f51323> [8] 80 0e ff ff ff ff ff ff 
<0x19f51323> [8] 81 04 00 00 00 00 00 00 
<0x19f51323> [8] 82 00 ff ff ff ff ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x0df01000> [8] 15 f0 95 3d 40 69 c8 29 
<0x19fa0300> [8] 15 d3 8f 00 c2 00 64 00 
<0x19fa0400> [8] 80 93 15 fd 0c 33 50 2c 
<0x19fa0400> [8] 81 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] 82 00 f0 0e 5c 2e e4 dc 
<0x19fa0400> [8] 83 27 10 e1 ff ff ff f2 
<0x19fa0400> [8] 84 12 50 1d f2 66 a7 0f 
<0x19fa0400> [8] 85 0b 00 00 00 f2 19 96 
<0x19fa0400> [8] 86 1a f2 57 64 0f ea ff 
<0x19fa0400> [8] 87 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 88 9a b1 0f f6 ff ff ff 
<0x19fa0400> [8] 89 f2 01 d1 06 36 dc 59 
<0x19fa0400> [8] 8a 0d fe ff ff ff f2 0b 
<0x19fa0400> [8] 8b 22 06 36 cd a2 0e e6 
<0x19fa0400> [8] 8c ff ff ff f2 0c e8 19 
<0x19fa0400> [8] 8d e7 37 9c ff 00 00 00 
<0x19fa0400> [8] 8e 80 f0 16 73 32 f1 84 
<0x19fa0400> [8] 8f 9c ff 00 00 00 00 f0 
<0x19fa0400> [8] 90 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 91 60 01 00 00 f0 1b 21 
<0x19fa0400> [8] 92 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 93 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 94 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 95 f0 ff ff ff ff ff ff 
<0x09f50323> [8] 06 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 0d c0 14 6d ff 7f ff ff 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x0df80500> [8] 80 2f 15 95 3d 40 69 c8 
<0x19f51323> [8] a0 0e ff ff ff ff ff ff 
<0x19f51323> [8] a1 04 00 00 00 00 00 00 
<0x0df80500> [8] 81 29 00 a8 82 75 00 ca 
<0x19f51323> [8] a2 00 ff ff ff ff ff ff 
<0x0df80500> [8] 82 e5 05 00 26 f1 3c a3 
<0x0df80500> [8] 83 d6 10 f6 b9 02 57 05 
<0x0df80500> [8] 84 00 00 00 00 13 fc 06 
<0x0df80500> [8] 85 8f 00 f1 00 dd f2 ff 
