# This sample file was logged from an NMEA 2K bus
# containing a Garmin 17X GPS, a Garmin GMI-10, and 
# an Airmar DST800.  Beginning of this log includes
# the power up sequence of the bus.
#
interface = can0, family = 29, type = 3, proto = 1
<0x09f80100> [8] da 7d 54 19 6e 33 55 d5 
<0x09f80200> [8] 86 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] da 7d 54 19 6e 33 55 d5 
<0x09f80100> [8] da 7d 54 19 6e 33 55 d5 
<0x09f80100> [8] da 7d 54 19 6e 33 55 d5 
<0x09f80200> [8] 87 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] da 7d 54 19 6e 33 55 d5 
<0x0df01000> [8] 88 f0 95 3d d0 8c d3 29 
<0x19fa0300> [8] 88 d3 6e 00 9a 00 64 00 
<0x19fa0400> [8] a0 93 88 fd 0c 21 50 2c 
<0x19fa0400> [8] a1 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] a2 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] a3 64 0f 00 00 00 00 f2 
<0x19fa0400> [8] a4 12 50 1d f2 66 bc 0f 
<0x19fa0400> [8] a5 e0 ff ff ff f2 19 96 
<0x19fa0400> [8] a6 1a f2 57 c7 0e 01 00 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] c0 0e ff ff ff ff ff ff 
<0x09f50323> [8] 4f 00 00 ff ff 00 ff ff 
<0x19fa0400> [8] a7 00 00 f2 1f b9 11 71 
<0x15fd0723> [8] 9f c0 1c 6e ff 7f ff ff 
<0x19f51323> [8] c1 04 00 00 00 00 00 00 
<0x19fa0400> [8] a8 9b 92 0e fe ff ff ff 
<0x19f51323> [8] c2 00 ff ff ff ff ff ff 
<0x19fa0400> [8] a9 f2 0c e8 19 e7 37 2a 
<0x19fa0400> [8] aa 10 f9 ff ff ff f2 16 
<0x19fa0400> [8] ab 73 32 43 84 70 0f ff 
<0x19fa0400> [8] ac ff ff ff f2 01 d1 06 
<0x19fa0400> [8] ad 87 db 32 0d 23 00 00 
<0x19fa0400> [8] ae 00 f2 0b 22 06 36 cd 
<0x19fa0400> [8] af bd 0f f8 ff ff ff f2 
<0x19fa0400> [8] b0 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] b1 ec ff ff ff f0 1b 21 
<0x19fa0400> [8] b2 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] b3 00 00 f0 20 ba 02 c1 
<0x19fa0400> [8] b4 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] b5 f0 ff ff ff ff ff ff 
<0x0df80500> [8] a0 2f 88 95 3d d0 8c d3 
<0x0df80500> [8] a1 29 c0 f9 fd 84 d3 c9 
<0x0df80500> [8] a2 e5 05 00 eb 37 95 6f 
<0x0df80500> [8] a3 d6 10 f6 33 22 6a 05 
<0x0df80500> [8] a4 00 00 00 00 13 fc 08 
<0x0df80500> [8] a5 6e 00 be 00 dd f2 ff 
<0x0df80500> [8] a6 ff 00 ff ff ff ff ff 
<0x1defff00> [8] c0 3e e5 98 17 00 04 04 
<0x1defff00> [8] c1 31 5e 28 41 3b a0 8a 
<0x1defff00> [8] c2 41 72 2f a2 41 72 2f 
<0x1defff00> [8] c3 a2 41 72 2f a2 41 0a 
<0x1defff00> [8] c4 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] c5 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] c6 3d 6d 0e 8e 3f bd 6e 
<0x1defff00> [8] c7 c5 3f 3f 3a f3 3f 00 
<0x1defff00> [8] c8 00 80 3f 94 7e 89 3e 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80200> [8] 89 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80200> [8] 8a fc 5b 95 00 00 ff ff 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x15fd0723> [8] a0 c0 1c 6e ff 7f ff ff 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80200> [8] 8b fc 5b 95 00 00 ff ff 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x09f80200> [8] 8c fc 5b 95 00 00 ff ff 
<0x09f80100> [8] e2 7d 54 19 6a 33 55 d5 
<0x0df01000> [8] 8d f0 95 3d e0 b3 d3 29 
<0x19fa0300> [8] 8d d3 6e 00 9a 00 64 00 
<0x19fa0400> [8] c0 93 8d fd 0c 21 50 2c 
<0x19fa0400> [8] c1 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] c2 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] c3 5d 0f 01 00 00 00 f2 
<0x19fa0400> [8] c4 12 50 1d f2 66 cd 0f 
<0x19fa0400> [8] c5 de ff ff ff f2 19 96 
<0x19fa0400> [8] c6 1a f2 57 df 0e 04 00 
<0x19fa0400> [8] c7 00 00 f2 1f b9 11 71 
<0x19fa0400> [8] c8 9b a2 0e ff ff ff ff 
<0x19fa0400> [8] c9 f2 0c e8 19 e7 37 4e 
<0x19fa0400> [8] ca 10 f3 ff ff ff f2 16 
<0x19fa0400> [8] cb 73 32 43 84 82 0f 08 
<0x19fa0400> [8] cc 00 00 00 f2 01 d1 06 
<0x19fa0400> [8] cd 87 db 45 0d 18 00 00 
<0x19fa0400> [8] ce 00 f2 0b 22 06 36 cd 
<0x19fa0400> [8] cf ce 0f fc ff ff ff f2 
<0x19fa0400> [8] d0 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] d1 ec ff ff ff f0 1b 21 
<0x19fa0400> [8] d2 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] d3 00 00 f0 20 ba 02 c1 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19fa0400> [8] d4 d6 9c ff 00 00 00 00 
<0x19f51323> [8] e0 0e ff ff ff ff ff ff 
<0x09f50323> [8] 50 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] a1 c0 1c 6e ff 7f ff ff 
<0x19fa0400> [8] d5 f0 ff ff ff ff ff ff 
<0x19f51323> [8] e1 04 00 00 00 00 00 00 
<0x0df80500> [8] c0 2f 8d 95 3d e0 b3 d3 
<0x19f51323> [8] e2 00 ff ff ff ff ff ff 
<0x0df80500> [8] c1 29 c0 06 ae bb d4 c9 
<0x0df80500> [8] c2 e5 05 80 a2 16 50 6d 
<0x0df80500> [8] c3 d6 10 f6 d9 b1 6a 05 
<0x0df80500> [8] c4 00 00 00 00 13 fc 08 
<0x0df80500> [8] c5 6e 00 be 00 dd f2 ff 
<0x0df80500> [8] c6 ff 00 ff ff ff ff ff 
<0x1defff00> [8] e0 3e e5 98 17 00 04 04 
<0x1defff00> [8] e1 d4 7b 26 41 ce d6 89 
<0x1defff00> [8] e2 41 37 06 a1 41 37 06 
<0x1defff00> [8] e3 a1 41 37 06 a1 41 0a 
<0x1defff00> [8] e4 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] e5 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] e6 3d eb 0e 8e 3f d4 74 
<0x1defff00> [8] e7 c5 3f 79 3f f3 3f 00 
<0x1defff00> [8] e8 00 80 3f 47 6a 87 3e 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80200> [8] 8e fc 5b 95 02 00 ff ff 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80200> [8] 8f fc 5b 95 02 00 ff ff 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x15fd0723> [8] a2 c0 1c 6e ff 7f ff ff 
<0x09f80200> [8] 90 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x09f80200> [8] 91 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] e7 7d 54 19 61 33 55 d5 
<0x0df01000> [8] 92 f0 95 3d f0 da d3 29 
<0x19fa0300> [8] 92 d3 6e 00 9a 00 64 00 
<0x19fa0400> [8] e0 93 92 fd 0c 21 50 2c 
<0x19fa0400> [8] e1 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] e2 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] e3 2d 0f 0a 00 00 00 f2 
<0x19fa0400> [8] e4 12 50 1d f2 66 b1 0f 
<0x19fa0400> [8] e5 d9 ff ff ff f2 19 96 
<0x19fa0400> [8] e6 1a f2 57 e7 0e 0e 00 
<0x19fa0400> [8] e7 00 00 f2 1f b9 11 71 
<0x19fa0400> [8] e8 9b b0 0e 03 00 00 00 
<0x19fa0400> [8] e9 f2 0c e8 19 e7 37 5e 
<0x19fa0400> [8] ea 10 f1 ff ff ff f2 16 
<0x19fa0400> [8] eb 73 32 43 84 7e 0f 13 
<0x19fa0400> [8] ec 00 00 00 f2 01 d1 06 
<0x19fa0400> [8] ed 87 db 48 0d 11 00 00 
<0x19fa0400> [8] ee 00 f2 0b 22 06 36 cd 
<0x19fa0400> [8] ef b3 0f 03 00 00 00 f2 
<0x19fa0400> [8] f0 18 51 0e 16 22 9c ff 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 00 0e ff ff ff ff ff ff 
<0x19fa0400> [8] f1 ec ff ff ff f0 1b 21 
<0x09f50323> [8] 51 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] a3 c0 1c 6e ff 7f ff ff 
<0x19fa0400> [8] f2 33 5c 1f 9c ff 00 00 
<0x19f51323> [8] 01 04 00 00 00 00 00 00 
<0x19fa0400> [8] f3 00 00 f0 20 ba 02 c1 
<0x19f51323> [8] 02 00 ff ff ff ff ff ff 
<0x19fa0400> [8] f4 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] f5 f0 ff ff ff ff ff ff 
<0x0df80500> [8] e0 2f 92 95 3d f0 da d3 
<0x0df80500> [8] e1 29 00 89 95 e8 d5 c9 
<0x0df80500> [8] e2 e5 05 80 99 73 02 6a 
<0x0df80500> [8] e3 d6 10 f6 3c d8 6b 05 
<0x0df80500> [8] e4 00 00 00 00 13 fc 08 
<0x0df80500> [8] e5 6e 00 be 00 dd f2 ff 
<0x0df80500> [8] e6 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 00 3e e5 98 17 00 04 04 
<0x1defff00> [8] 01 61 29 24 41 07 12 89 
<0x1defff00> [8] 02 41 68 c4 9f 41 68 c4 
<0x1defff00> [8] 03 9f 41 68 c4 9f 41 0a 
<0x1defff00> [8] 04 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 05 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 06 3d 68 0f 8e 3f ea 7a 
<0x1defff00> [8] 07 c5 3f b4 44 f3 3f 00 
<0x1defff00> [8] 08 00 80 3f ee 4d 81 3e 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80200> [8] 93 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80200> [8] 94 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x15fd0723> [8] a4 c0 1c 6e ff 7f ff ff 
<0x09f80200> [8] 95 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x09f80200> [8] 96 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 53 33 55 d5 
<0x0df01000> [8] 97 f0 95 3d 00 02 d4 29 
<0x19fa0300> [8] 97 d3 6e 00 9a 00 64 00 
<0x19fa0400> [8] 00 93 97 fd 0c 21 50 2c 
<0x19fa0400> [8] 01 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] 02 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 03 d4 0e 0d 00 00 00 f2 
<0x19fa0400> [8] 04 12 50 1d f2 66 c8 0f 
<0x19fa0400> [8] 05 df ff ff ff f2 19 96 
<0x19fa0400> [8] 06 1a f2 57 e3 0e 16 00 
<0x19fa0400> [8] 07 00 00 f2 1f b9 11 71 
<0x19fa0400> [8] 08 9b b4 0e 0f 00 00 00 
<0x19fa0400> [8] 09 f2 0c e8 19 e7 37 40 
<0x19fa0400> [8] 0a 10 ec ff ff ff f2 16 
<0x19fa0400> [8] 0b 73 32 43 84 77 0f 17 
<0x19fa0400> [8] 0c 00 00 00 f2 01 d1 06 
<0x19fa0400> [8] 0d 87 db 3b 0d 21 00 00 
<0x19fa0400> [8] 0e 00 f2 0b 22 06 36 cd 
<0x19fa0400> [8] 0f 8d 0f 07 00 00 00 f2 
<0x19fa0400> [8] 10 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 11 ec ff ff ff f0 1b 21 
<0x19fa0400> [8] 12 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 13 00 00 f0 20 ba 02 c1 
<0x19fa0400> [8] 14 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 15 f0 ff ff ff ff ff ff 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 20 0e ff ff ff ff ff ff 
<0x09f50323> [8] 52 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] a5 c0 1c 6e ff 7f ff ff 
<0x0df80500> [8] 00 2f 97 95 3d 00 02 d4 
<0x19f51323> [8] 21 04 00 00 00 00 00 00 
<0x0df80500> [8] 01 29 80 2c 45 b1 d5 c9 
<0x19f51323> [8] 22 00 ff ff ff ff ff ff 
<0x0df80500> [8] 02 e5 05 00 b2 2b cd 64 
<0x0df80500> [8] 03 d6 10 f6 4d b9 6c 05 
<0x0df80500> [8] 04 00 00 00 00 13 fc 08 
<0x0df80500> [8] 05 6e 00 be 00 dd f2 ff 
<0x0df80500> [8] 06 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 20 3e e5 98 17 00 04 04 
<0x1defff00> [8] 21 02 1b 22 41 ee 55 88 
<0x1defff00> [8] 22 41 06 9c 9e 41 06 9c 
<0x1defff00> [8] 23 9e 41 06 9c 9e 41 0a 
<0x1defff00> [8] 24 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 25 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 26 3d e6 0f 8e 3f ff 80 
<0x1defff00> [8] 27 c5 3f ed 49 f3 3f 00 
<0x1defff00> [8] 28 00 80 3f 3a 37 81 3e 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80200> [8] 98 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80200> [8] 99 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x15fd0723> [8] a6 c0 1c 6e ff 7f ff ff 
<0x09f80200> [8] 9a fc 5b 95 03 00 ff ff 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x09f80200> [8] 9b fc 5b 95 03 00 ff ff 
<0x09f80100> [8] eb 7d 54 19 3c 33 55 d5 
<0x0df01000> [8] 9c f0 95 3d 10 29 d4 29 
<0x19fa0300> [8] 9c d3 6e 00 9a 00 64 00 
<0x19fa0400> [8] 20 93 9c fd 0c 21 50 2c 
<0x19fa0400> [8] 21 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] 22 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 23 08 0f 06 00 00 00 f2 
<0x19fa0400> [8] 24 12 50 1d f2 66 c6 0f 
<0x19fa0400> [8] 25 d6 ff ff ff f2 19 96 
<0x19fa0400> [8] 26 1a f2 57 d8 0e 19 00 
<0x19fa0400> [8] 27 00 00 f2 1f b9 11 71 
<0x19fa0400> [8] 28 9b b1 0e 0f 00 00 00 
<0x19fa0400> [8] 29 f2 0c e8 19 e7 37 2f 
<0x19fa0400> [8] 2a 10 ec ff ff ff f2 16 
<0x19fa0400> [8] 2b 73 32 43 84 78 0f 1a 
<0x19fa0400> [8] 2c 00 00 00 f2 01 d1 06 
<0x19fa0400> [8] 2d 87 db 30 0d 1b 00 00 
<0x19fa0400> [8] 2e 00 f2 0b 22 06 36 cd 
<0x19fa0400> [8] 2f 79 0f fa ff ff ff f2 
<0x19fa0400> [8] 30 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 31 ec ff ff ff f0 1b 21 
<0x19fa0400> [8] 32 33 5c 1f 9c ff 00 00 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 40 0e ff ff ff ff ff ff 
<0x19fa0400> [8] 33 00 00 f0 20 ba 02 c1 
<0x09f50323> [8] 53 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] a7 c0 1c 6e ff 7f ff ff 
<0x19fa0400> [8] 34 d6 9c ff 00 00 00 00 
<0x19f51323> [8] 41 04 00 00 00 00 00 00 
<0x19fa0400> [8] 35 f0 ff ff ff ff ff ff 
<0x19f51323> [8] 42 00 ff ff ff ff ff ff 
<0x0df80500> [8] 20 2f 9c 95 3d 10 29 d4 
<0x0df80500> [8] 21 29 40 16 be db d5 c9 
<0x0df80500> [8] 22 e5 05 80 9f c7 38 62 
<0x0df80500> [8] 23 d6 10 f6 8a c4 6d 05 
<0x0df80500> [8] 24 00 00 00 00 13 fc 08 
<0x0df80500> [8] 25 6e 00 be 00 dd f2 ff 
<0x0df80500> [8] 26 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 40 3e e5 98 17 00 04 04 
<0x1defff00> [8] 41 69 3b 21 41 d1 a2 87 
<0x1defff00> [8] 42 41 ee c8 9d 41 ee c8 
<0x1defff00> [8] 43 9d 41 ee c8 9d 41 0a 
<0x1defff00> [8] 44 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 45 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 46 3d 63 10 8e 3f 13 87 
<0x1defff00> [8] 47 c5 3f 25 4f f3 3f 00 
<0x1defff00> [8] 48 00 80 3f ba 2a 81 3e 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80200> [8] 9d fc 5b 95 00 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80200> [8] 9e fc 5b 95 00 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x15fd0723> [8] a8 c0 1c 6e ff 7f ff ff 
<0x09f80200> [8] 9f fc 5b 95 00 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x09f80200> [8] a0 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] ec 7d 54 19 31 33 55 d5 
<0x0df01000> [8] a1 f0 95 3d 20 50 d4 29 
<0x19fa0300> [8] a1 d3 6e 00 9a 00 64 00 
<0x19fa0400> [8] 40 93 a1 fd 0c 21 50 2c 
<0x19fa0400> [8] 41 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] 42 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 43 2b 0f fb ff ff ff f2 
<0x19fa0400> [8] 44 12 50 1d f2 66 c2 0f 
<0x19fa0400> [8] 45 d4 ff ff ff f2 19 96 
<0x19fa0400> [8] 46 1a f2 57 a0 0e 26 00 
<0x19fa0400> [8] 47 00 00 f2 1f b9 11 71 
<0x19fa0400> [8] 48 9b ad 0e 12 00 00 00 
<0x19fa0400> [8] 49 f2 0c e8 19 e7 37 21 
<0x19fa0400> [8] 4a 10 ef ff ff ff f2 16 
<0x19fa0400> [8] 4b 73 32 43 84 61 0f 24 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 60 0e ff ff ff ff ff ff 
<0x09f50323> [8] 54 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] a9 c0 1c 6e ff 7f ff ff 
<0x19fa0400> [8] 4c 00 00 00 f2 01 d1 06 
<0x19f51323> [8] 61 04 00 00 00 00 00 00 
<0x19fa0400> [8] 4d 87 db 29 0d 1d 00 00 
<0x19f51323> [8] 62 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 4e 00 f2 0b 22 06 36 cd 
<0x19fa0400> [8] 4f 85 0f f1 ff ff ff f2 
<0x19fa0400> [8] 50 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 51 ec ff ff ff f0 1b 21 
<0x19fa0400> [8] 52 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 53 00 00 f0 20 ba 02 c1 
<0x19fa0400> [8] 54 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 55 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 40 2f a1 95 3d 20 50 d4 
<0x0df80500> [8] 41 29 80 75 66 2f d6 c9 
<0x0df80500> [8] 42 e5 05 80 a6 da e5 60 
<0x0df80500> [8] 43 d6 10 f6 3e 58 6e 05 
<0x0df80500> [8] 44 00 00 00 00 13 fc 08 
<0x0df80500> [8] 45 6e 00 be 00 dd f2 ff 
<0x0df80500> [8] 46 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 60 3e e5 98 17 00 04 04 
<0x1defff00> [8] 61 f9 a8 20 41 05 62 87 
<0x1defff00> [8] 62 41 d5 6b 9d 41 d5 6b 
<0x1defff00> [8] 63 9d 41 d5 6b 9d 41 0a 
<0x1defff00> [8] 64 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 65 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 66 3d e0 10 8e 3f 27 8d 
<0x1defff00> [8] 67 c5 3f 5d 54 f3 3f 00 
<0x1defff00> [8] 68 00 80 3f 8e 54 83 3e 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80200> [8] a2 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80200> [8] a3 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x15fd0723> [8] aa c0 1c 6e ff 7f ff ff 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80200> [8] a4 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x09f80200> [8] a5 fc 5b 95 02 00 ff ff 
<0x09f80100> [8] ed 7d 54 19 2b 33 55 d5 
<0x0df01000> [8] a6 f0 95 3d 30 77 d4 29 
<0x19fa0300> [8] a6 d3 6e 00 9a 00 64 00 
<0x19fa0400> [8] 60 93 a6 fd 0c 21 50 2c 
<0x19fa0400> [8] 61 5b 3d 9c ff e9 00 00 
<0x19fa0400> [8] 62 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 63 42 0f f0 ff ff ff f2 
<0x19fa0400> [8] 64 12 50 1d f2 66 c8 0f 
<0x19fa0400> [8] 65 ca ff ff ff f2 19 96 
<0x19fa0400> [8] 66 1a f2 57 7a 0e 2a 00 
<0x19fa0400> [8] 67 00 00 f2 1f b9 11 71 
<0x19fa0400> [8] 68 9b af 0e 0e 00 00 00 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19fa0400> [8] 69 f2 0c e8 19 e7 37 1e 
<0x19f51323> [8] 80 0e ff ff ff ff ff ff 
<0x09f50323> [8] 55 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] ab c0 1c 6e ff 7f ff ff 
<0x19fa0400> [8] 6a 10 f1 ff ff ff f2 16 
<0x19f51323> [8] 81 04 00 00 00 00 00 00 
<0x19fa0400> [8] 6b 73 32 43 84 63 0f 0a 
<0x19f51323> [8] 82 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 6c 00 00 00 f2 01 d1 06 
<0x19fa0400> [8] 6d 87 db 2b 0d 0f 00 00 
<0x19fa0400> [8] 6e 00 f2 0b 22 06 36 cd 
<0x19fa0400> [8] 6f 8b 0f f4 ff ff ff f2 
<0x19fa0400> [8] 70 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 71 ec ff ff ff f0 1b 21 
<0x19fa0400> [8] 72 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 73 00 00 f0 20 ba 02 c1 
<0x19fa0400> [8] 74 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 75 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 60 2f a6 95 3d 30 77 d4 
<0x0df80500> [8] 61 29 40 9d ce d9 d6 c9 
<0x0df80500> [8] 62 e5 05 80 f4 3b e1 5f 
<0x0df80500> [8] 63 d6 10 f6 75 db 6d 05 
<0x0df80500> [8] 64 00 00 00 00 13 fc 08 
<0x0df80500> [8] 65 6e 00 be 00 dd f2 ff 
<0x0df80500> [8] 66 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 80 3e e5 98 17 00 04 04 
<0x1defff00> [8] 81 c6 24 20 41 5f 25 87 
<0x1defff00> [8] 82 41 f4 15 9d 41 f4 15 
<0x1defff00> [8] 83 9d 41 f4 15 9d 41 0a 
<0x1defff00> [8] 84 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 85 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 86 3d 5d 11 8e 3f 3a 93 
<0x1defff00> [8] 87 c5 3f 95 59 f3 3f 00 
<0x1defff00> [8] 88 00 80 3f 32 76 83 3e 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80200> [8] a7 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80200> [8] a8 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x15fd0723> [8] ac c0 1c 6e ff 7f ff ff 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80200> [8] a9 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80100> [8] f0 7d 54 19 27 33 55 d5 
<0x09f80200> [8] aa fc 5b 95 03 00 ff ff 
